,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,Date
55,182286.96990704766,124665.50718032074,151750.2515655184,64385.641574646,0.0,97508.91290189835,51833.29375604755,145426.37036155505,215380.6029171141,03/03/2017
56,233716.84956362707,143866.2214558612,103931.61240775288,86587.58694521358,196.5499050525037,95669.12209242856,128966.17136921352,160637.6168016874,177355.37824948103,26/12/2017
57,179852.41939075987,143309.67901309193,160886.03984100907,271973.83078945294,2172.393687422409,130625.14747235438,42885.87995292029,244363.73216513166,178649.78787141645,21/08/2020
58,207241.11269899743,103516.89435508776,198030.2316453066,119890.50500106497,0.0,155462.32340019644,146860.998975468,140565.564694657,164356.496531283,03/11/2017
59,235238.4436363069,189224.43054155828,153336.99373968257,391309.28715625365,81.20614498221862,112227.23937765659,153340.16069497398,195934.6853365751,173235.83581403524,12/09/2017
60,232195.2554909472,200355.27939694404,124559.26067188702,191769.30313827752,57.41326173902082,104868.07613977748,182650.65418797705,177495.14177426617,173351.1306698109,02/06/2017
61,271756.7013806236,207312.05993156016,74649.00682999598,158466.38508242613,0.0,86746.13666650013,269039.47711472295,154557.40222181554,182683.4724355399,16/06/2017
62,204197.9245536377,186998.2607704811,74384.54980096863,190936.73018688124,0.0,108547.65775871703,194991.91460608362,149907.73636669965,166951.03963324198,22/06/2017
63,147290.3062354108,86820.62107200909,188389.5708598546,110454.67821857375,0.0,121426.19342500549,24343.136174715182,182724.67711246497,190844.05868122252,26/01/1970
64,211197.25728796504,226791.04542848526,104051.82014821986,333029.1805585138,0.0,84998.33539750385,250836.11799801575,136064.30870724304,187110.46781972086,17/04/2017
65,182286.96990704766,185606.90466355789,102585.28571452267,101851.42438747881,0.0,123265.98423447528,252070.24403982642,123905.40954613543,236212.9932759574,15/01/2005
66,215153.4018769327,175032.5982509414,110134.33181584916,156246.1905453694,82.75785475894892,126945.56585341484,140998.9002768674,187980.2224274775,173726.4522215913,16/03/2017
67,157637.14592963387,160005.95229617058,110975.78599911802,83812.34377389264,0.0,100268.59911610303,64483.08568460676,183628.90630640162,278594.07394867577,07/04/2017
68,251063.02199217747,181432.8363427882,76524.24758128091,222574.50233994002,0.0,85642.26218081827,287242.8362314301,146844.6790972222,191105.72076525242,06/01/2017
69,219109.54646590035,212320.94191648377,97801.01764393676,145145.2178600856,0.0,165581.1728522802,228930.38075587663,156006.31093020472,205313.15423406358,21/10/2016
70,235542.76245084289,205642.4326032523,96695.10643164054,264203.1499097543,30.77557723848413,109467.55316345191,253921.4331025424,192782.88814620365,201348.97366101056,28/04/2017
71,108946.13560387823,154997.070311247,177859.37279494695,163739.34710793593,0.0,82974.56550708709,152414.566163616,130115.67401007602,172915.2997610986,28/10/2016
72,227630.4732729076,145814.12000555373,134608.62777492675,93803.21919064804,0.0,102108.3899255728,203939.32840921087,145365.17041611095,200302.32532489093,29/07/2016
73,185025.8392378714,222060.43466494634,122419.56289157474,119890.50500106497,0.0,143503.68313864287,154574.28673678462,142202.6632352868,151561.22062222072,10/08/2016
74,234629.80600723496,175032.5982509414,139200.56346076546,141814.92605450045,13034.362124534457,327482.7640856209,111688.40678386434,158994.39826651316,142258.31584094506,07/09/2020
75,205110.88099724564,91551.23183554805,242723.4695509306,156801.2391796336,0.0,130625.14747235438,122178.47813925492,226271.49829321803,229608.4787362401,06/05/2016
76,232803.89312001914,131622.28771493686,140138.18383640793,142647.49900589674,0.0,359679.103251342,104900.71355390575,183587.59634322685,194038.78918842511,01/04/2016
77,178939.46294715194,195346.39741202042,102681.45190689625,137652.06129751902,0.0,81870.69102140522,132360.01798419282,191110.5996369435,166552.82264910897,25/02/2016
78,227021.83564383566,209816.50092402197,160621.5828119817,185941.29247850354,0.0,44706.91667011566,235718.07398583525,229319.2555763345,169164.53732533244,14/04/2015
79,53864.43017286717,86264.0786292398,228250.45759870592,75764.1385770619,471.20253553376546,114986.92559186126,76515.81459226065,127173.48663285066,204518.35565382274,09/12/2013
80,185330.15805240738,105186.52168339562,236280.33466190033,1215556.5090385755,0.0,257570.71332576926,158893.72788312193,153639.40304015396,191111.4446233406,13/11/2015
81,199024.50470652618,211486.12825232983,88208.43995467159,124885.94270944266,0.0,275048.7260157321,126497.9192855922,152915.7136852774,164182.32770660057,13/11/2015
82,143334.16164644316,119934.89641678178,147350.64826442685,94913.31645917644,0.0,78559.06756435962,89165.60652081987,241709.18453149358,241630.21610938897,01/01/2012
83,233108.21193455512,218721.1800083306,139368.85429741922,229790.1345853745,0.0,70371.9984622191,205790.51747192687,188165.3522624459,164728.547307013,30/09/2015
84,113206.59900738185,84872.72252231657,196876.23733682357,80204.5276511754,9.827495252625184,83526.50274992803,27150.772919834424,132716.67169145047,228125.99949140818,27/07/1999
85,209371.34440074922,247383.11581094898,103643.11383063211,158466.38508242613,2053.4292712064203,88677.9170164434,176788.55548937642,189781.03082217032,185636.16551501487,08/08/2019
86,257149.39828289693,157779.7825250934,195169.28742219243,265313.24717828265,7344.759609856717,74603.5173239996,244665.48778896252,191280.42948555088,168183.3045102203,13/11/2015
87,173766.0431000404,226791.04542848526,78543.73762112622,89085.30579940243,0.0,149942.9509717871,204864.92294056885,183612.0763214045,172909.57590301044,2015
88,241933.45755609832,171415.072372941,126963.41548122666,166514.5902792569,0.0,321043.49625247665,251453.18101892108,168322.7999508309,155732.27778045987,29/01/2016
89,222152.7346112601,195624.6686334051,136363.66078574467,102406.473021743,0.0,60437.128091082275,183576.24871933504,211312.70162804262,157095.37369945316,13/11/2015
90,240716.18229795442,159727.68107478594,169757.37108747236,186773.86542989983,0.0,93829.33128295878,125263.79324378156,186740.92353223436,149447.48159966664,05/11/2015
91,236151.40007991483,159727.68107478594,237578.57825894374,87975.20853087406,404.9962517266063,120506.29802027061,127114.98230649754,185175.73492750138,113531.08979051205,15/05/2015
92,234934.12482177094,238756.707948025,85708.11895295835,352455.8827577604,0.0,141663.89232917308,157351.0703308586,156026.20091247404,187220.03881740838,19/06/2015
93,235847.08126537886,189224.43054155828,132420.84689842767,174562.79547608763,0.0,100268.59911610303,202396.67085694754,174458.09448160246,169850.58260189835,12/11/2017
94,251671.65962124942,160284.22351755522,186898.99487806403,103239.04597313926,149998.61175059492,60345.1385506088,126497.9192855922,180601.0390055545,147202.09384108504,06/03/2015
95,209675.6632152852,133848.457486014,180383.7353447536,226182.3184626573,5.327536900107337,59701.211767294364,87314.41745810388,122438.14085411302,187682.03593452368,2015
96,195372.67893209448,229017.21519956243,137445.53044994752,80204.5276511754,0.0,71383.88340742748,132977.08100509815,188154.64227199322,185897.82759904477,2015
97,142421.20520283523,57045.60038385212,264793.61070066853,114340.01865842307,0.0,98428.80830663323,100272.74089711579,191774.61904501202,179513.27274871513,06/11/2015
98,170418.53614014474,235139.1820700246,99051.17814479339,104071.61892453556,0.0,351400.044608728,152723.09767406865,183593.71633777124,176098.5825521249,22/06/2015
99,79731.52940842486,168632.36015909456,159780.12862871282,134321.7694919339,0.0,114986.92559186126,84846.16537448259,290480.95105453714,206495.5397762737,06/11/2015
100,188373.34619776712,214268.84046617628,136868.533295706,110454.67821857375,0.0,291606.84330096014,124029.66720197091,154487.0222845548,184886.34010546666,27/01/2016
101,260496.90524279265,169467.1738232485,173652.10187860258,228680.03731684614,421.5478226783961,31644.40192288022,286317.24170007213,175931.48316816927,220505.09129403724,12/01/2015
102,193242.4472303427,247939.65825371825,138623.56630652395,104626.66755879975,62.58562766145512,62644.87706244601,219674.4354422967,183685.51625593743,189689.47473544057,11/12/2020
103,190503.57789951892,150544.73076909268,183076.38873121399,85477.4896766852,0.0,109467.55316345191,78675.5351654293,171361.37724213075,187183.24258684166,10/12/2014
104,167071.02918024902,103516.89435508776,305159.36994948116,79094.43038264703,1117.2310392458105,274128.8306109972,113848.127357033,133152.72130273975,192828.60204978683,04/11/2021
105,214240.44543332478,215103.65413033022,140570.9317020891,151805.80147125587,40.3444541949876,123265.98423447528,131125.89194238218,178971.5904581052,196307.07237935936,10/05/2019
106,237672.9941525947,123830.69351616681,145715.8229940759,81869.67355396796,0.0,169260.75447121979,182342.12267752437,120866.83225483562,230229.9261858111,21/06/2014
107,245585.28333053,246826.57336817967,89578.80819599518,139594.7315174437,14.844690197386463,114067.03018712637,296498.78154501005,205099.37716682983,153661.05884656069,09/01/2015
108,215457.72069146868,209259.95848125266,105806.85315903778,245886.544979036,0.0,346800.56758505356,226153.59716180267,229588.53533628854,163026.10837279345,04/10/2013
109,147594.62504994677,240426.33527633286,55151.31132625147,119612.98068393287,0.0,617249.8165771113,122178.47813925492,261796.53662488502,156218.805717953,02/11/2018
110,125987.9892178927,238478.43672664033,98041.43312487075,224239.64824273263,29689.38039477293,315524.12382406736,107368.96563752704,195876.54538840317,174136.11692190063,19/11/2021
111,210892.9384734291,39236.24221523487,345428.96300592023,101573.9000703467,4515.47545028515,103948.18073504258,28076.36745119242,143819.87179364727,155470.61569642997,31/05/2010
112,196285.6353757024,247939.65825371825,60224.07797395811,107401.9107301207,20.068779779045116,348640.3583945233,175245.8979371131,191119.77962876012,166417.08544301847,30/06/2014
113,235238.4436363069,210929.58580956055,120039.4496303285,105736.76482732814,0.0,280568.09844414145,285391.64716871415,220370.29355377017,183850.32179151077,25/06/2014
114,256236.441839289,254618.16756694973,78255.23904400546,144590.16922582142,8120.614498221863,272289.03980152745,250836.11799801575,184507.12552352453,184103.80693541473,01/01/2014
115,165853.75392210516,215660.1965730995,103979.69550393967,96855.9866791011,0.0,176619.9177090989,159202.25939357458,266351.34256456257,158491.17737895017,01/01/2014
116,231282.29904733927,199798.73695417476,106816.59817896044,132101.57495487714,0.0,83066.55504756059,129274.70287966618,153015.1635966241,206560.13760326858,01/01/2014
117,200850.417593742,222060.43466494634,128045.2851454295,449589.3937539936,113.79205029355477,94749.22668769368,193449.2570538203,157623.51948856522,158622.00842096514,20/11/2020
118,185330.15805240738,246270.0309254104,131483.2265227852,178170.61159880486,59.48220810799454,309084.85599092307,234483.94794402458,191187.0995687486,135280.11513747257,03/06/2014
119,248932.79029042568,186441.71832771183,107008.9305637076,130991.47768634875,6.310286425369855,55285.7138245669,289711.0883150514,183581.47634868245,192470.45207227088,21/06/2014
120,210588.61965889312,249331.01436064148,151413.66989221086,176782.99001314442,10034.389889522557,144423.57854337775,248059.33440394182,186658.30360588484,152037.1185375501,02/12/2020
121,137856.42298479564,122717.60863062822,150860.71428606275,120723.07795246124,698.2693995286315,97508.91290189835,56769.79792329016,129548.04451608194,141235.38063119064,06/11/2015
122,229152.06734558745,222895.24832910026,77293.57712026959,82147.19787110007,0.0,117746.61180606594,244974.01929941517,195856.65540613382,166373.74766035101,31/03/2014
123,181374.01346343974,238200.1655052557,85491.74502011779,96023.41372770481,92068.11341933068,129705.25206761948,229238.9122663293,195761.79549069548,181963.90170445768,19/11/2021
124,252280.29725032137,141918.3229061687,224403.80990376248,102406.473021743,7241.31229140803,76259.32905252239,138839.17970369878,183589.12634186295,170189.10792311205,07/02/2014
