Date,Value,Variable
28/06/2011,206477.2463,Energy
25/05/2012,218999.4512,Energy
28/11/2011,245156.946,Energy
19/08/2011,221782.1634,Energy
01/01/2011,262409.7618,Energy
10/02/2012,233747.826,Energy
25/07/2011,234582.6396,Energy
01/01/2011,238478.4367,Energy
17/06/2011,261296.6769,Energy
10/05/2010,197850.8384,Energy
01/01/2011,204807.6189,Energy
01/01/2011,189224.4305,Energy
01/01/2011,221782.1634,Energy
24/01/2011,89325.06206,Energy
10/05/2010,155275.3415,Energy
01/01/2010,218721.18,Energy
01/01/2010,220947.3498,Energy
01/01/2010,240426.3353,Energy
31/05/2010,270201.356,Energy
10/05/2010,234026.0972,Energy
15/08/2010,203416.2628,Energy
24/11/2010,241817.6914,Energy
01/01/2010,211486.1283,Energy
01/01/2012,171136.8012,Energy
27/04/2010,241261.1489,Energy
18/11/2013,218442.9088,Energy
03/12/2012,209816.5009,Energy
01/01/2011,267696.915,Energy
27/04/2010,237365.3518,Energy
23/06/2010,254618.1676,Energy
01/01/2009,183937.2773,Energy
08/11/2009,208981.6873,Energy
25/01/2005,152214.3581,Energy
01/01/1992,216773.2815,Energy
11/12/2013,261853.2193,Energy
11/09/2009,207312.0599,Energy
25/09/2007,206198.975,Energy
01/01/2011,254339.8963,Energy
22/11/2010,257400.8798,Energy
02/09/2010,156388.4264,Energy
11/09/2009,255452.9812,Energy
01/01/2009,195346.3974,Energy
01/01/2009,245435.2173,Energy
01/01/2011,272984.0682,Energy
18/08/2009,192841.9564,Energy
26/09/2008,229852.0289,Energy
13/10/2011,271314.4409,Energy
03/06/2009,245435.2173,Energy
16/09/2008,118265.2691,Energy
14/11/2008,144144.4927,Energy
23/09/2008,251835.4554,Energy
10/09/2007,243487.3187,Energy
01/01/2011,207312.0599,Energy
24/11/2008,171136.8012,Energy
27/08/2013,260183.592,Energy
16/05/2008,250722.3705,Energy
18/09/2009,259070.5071,Energy
01/01/2008,239034.9792,Energy
26/10/2012,49254.00619,Energy
14/03/2010,194233.3125,Energy
03/11/2008,185328.6334,Energy
13/10/1995,244322.1324,Energy
06/02/2008,230130.3001,Energy
09/01/2003,153327.443,Energy
12/08/2009,223730.062,Energy
26/02/2007,261296.6769,Energy
01/01/2007,229295.4864,Energy
01/01/2006,206755.5175,Energy
27/11/2001,56489.05794,Energy
31/10/2006,265470.7452,Energy
23/10/2006,251835.4554,Energy
19/10/2012,158058.0537,Energy
01/01/2006,257122.6086,Energy
09/12/2006,162232.1221,Energy
29/05/2007,207590.3312,Energy
28/11/2005,229295.4864,Energy
01/01/2006,216216.739,Energy
06/05/2006,129396.1179,Energy
05/02/2006,163345.207,Energy
01/01/2006,159171.1386,Energy
18/12/2006,173641.2421,Energy
